,host_response_time,host_is_superhost,host_listings_count,host_has_profile_pic,host_identity_verified,has_availability,availability_30,availability_365,review_scores_accuracy,review_scores_cleanliness,reviews_per_month,place,south,verification_count,email_ver,jumio_ver,phone_ver,host_response_rate%,host_acceptance_rate%,days_as_host,days_since_last_rev,days_since_first_rev,minimum_nights,communication_score
3563,within an hour,f,3.0,t,t,t,9,195,4.94,4.92,3.36,Bologna,0,7,1,1,1,100,100,1112,78,1092,1,4.93
4526,within an hour,t,0.0,t,t,t,15,337,4.97,4.97,7.25,Bologna,0,2,1,0,1,100,98,374,78,224,1,4.984999999999999
2427,within an hour,f,10.0,t,t,t,0,0,4.77,4.53,2.21,Bologna,0,8,1,1,1,100,100,2088,175,2056,1,4.859999999999999
4448,within an hour,f,154.0,t,t,t,18,118,4.44,4.06,1.63,Bologna,0,8,1,1,1,99,100,1739,137,369,2,4.595000000000001
4141,within an hour,t,36.0,t,t,t,0,106,4.75,4.81,0.72,Bologna,0,7,1,1,1,98,100,779,549,739,1,4.845
2379,within an hour,f,2.0,t,t,t,0,0,5.0,5.0,0.03,Bologna,0,6,0,1,1,100,100,2857,1262,1262,7,5.0
2271,within an hour,f,5.0,t,t,t,6,335,4.97,4.97,0.47,Bologna,0,5,1,1,1,100,68,2243,122,2172,5,4.97
3986,within an hour,t,0.0,t,t,t,1,99,5.0,5.0,0.72,Bologna,0,2,1,0,1,100,94,2161,85,572,3,4.96
1946,within an hour,f,1.0,t,t,t,0,138,4.33,5.0,0.04,Bologna,0,5,1,1,1,100,100,2872,1158,2345,30,5.0
3753,within an hour,t,2.0,t,f,t,0,0,4.93,5.0,0.45,Bologna,0,6,1,1,1,100,0,1017,753,1002,1,4.895
2655,within an hour,f,0.0,t,f,t,3,71,4.63,4.51,0.9,Bologna,0,2,1,0,1,100,100,262,116,1779,2,4.6850000000000005
3206,within an hour,t,3.0,t,t,t,0,0,5.0,4.86,0.51,Bologna,0,6,1,1,1,100,100,2014,111,1315,4,5.0
2850,within an hour,f,1.0,t,t,t,0,0,4.87,4.77,2.58,Bologna,0,8,1,1,1,100,100,1627,731,1611,3,4.93
1980,within an hour,t,1.0,t,f,t,1,177,4.93,4.97,4.15,Bologna,0,5,1,1,1,100,98,2722,80,2718,2,4.98
4766,within an hour,f,1.0,t,t,t,29,177,5.0,5.0,3.91,Bologna,0,2,1,0,1,100,100,156,102,144,1,5.0
3406,within a day,f,33.0,t,t,t,13,174,5.0,5.0,0.28,Bologna,0,8,1,1,1,75,89,2291,172,920,1,4.8149999999999995
3147,within an hour,f,1.0,t,t,t,0,0,4.68,4.82,0.53,Bologna,0,5,1,1,1,100,40,2680,791,1367,7,4.95
4201,within an hour,f,0.0,t,t,t,0,289,4.74,4.68,3.08,Bologna,0,7,1,1,1,100,94,907,337,678,1,4.92
1866,within an hour,t,1.0,t,t,t,0,278,4.92,4.91,0.77,Bologna,0,8,1,1,1,100,0,3196,760,3173,2,4.995
2402,within an hour,t,1.0,t,t,t,19,239,4.94,4.92,1.89,Bologna,0,8,1,1,1,100,100,2085,86,2048,2,4.975
