,Unnamed: 0,host_id,host_since,host_location,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_verifications,host_has_profile_pic,host_identity_verified,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,minimum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,minimum_nights_avg_ntm,maximum_nights,maximum_maximum_nights,maximum_nights_avg_ntm,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,reviews_per_month,place,south
12240,8527,2703692,2012-06-21,"Florence, Tuscany, Italy",within a few hours,100%,89%,t,5.0,"['email', 'phone', 'facebook', 'reviews', 'jumio', 'offline_government_id', 'selfie', 'government_id', 'identity_manual']",t,t,6,6,0,0,1,1.0,1.0,1125.0,1.0,1125,1125.0,1125.0,t,15,45,75,350,1,0,0,2020-08-22,2020-08-22,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.06,Toscana,0
113551,663,44985850,2015-09-24,IT,within an hour,100%,85%,t,2.0,"['email', 'phone', 'reviews', 'jumio', 'government_id']",t,t,1,1,0,0,2,2.0,5.0,1125.0,2.2,1125,1125.0,1125.0,t,26,56,86,361,201,7,0,2015-10-07,2021-11-08,4.77,4.92,4.8,4.93,4.96,4.55,4.76,2.67,Naples,0
8408,3828,123249843,2017-03-29,"Florence, Tuscany, Italy",within an hour,100%,100%,f,6.0,"['email', 'phone', 'facebook', 'reviews', 'jumio', 'offline_government_id', 'government_id', 'work_email']",t,t,6,0,2,0,1,1.0,1.0,1125.0,1.0,1125,1125.0,1125.0,t,26,56,86,361,19,12,0,2017-04-16,2021-11-13,4.22,4.11,4.39,3.94,4.17,4.94,4.17,0.33,Toscana,0
1669,2007,401003488,2021-05-11,IT,within an hour,100%,100%,f,251.0,"['email', 'phone']",t,t,12,12,0,0,1,3.0,3.0,28.0,3.0,1125,28.0,28.0,t,27,57,87,362,6,6,0,2021-07-26,2021-09-15,4.5,4.67,4.67,4.83,4.83,4.67,4.67,1.14,Bergamo,0
107573,16122,51503378,2015-12-16,"Rome, Lazio, Italy",within a day,74%,46%,f,39.0,"['email', 'phone', 'jumio', 'offline_government_id', 'government_id']",t,t,37,37,0,0,1,1.0,3.0,1125.0,1.3,1125,1125.0,1125.0,t,0,29,59,334,4,0,0,2019-05-31,2019-09-22,3.75,3.5,4.0,5.0,5.0,4.75,3.5,0.13,Rome,0
104878,12990,201341490,2018-07-10,"Rome, Lazio, Italy",within an hour,100%,98%,t,1.0,"['email', 'phone']",t,t,1,1,0,0,2,1.0,3.0,2.0,2.0,1125,99.0,93.1,t,12,37,63,255,107,26,1,2018-08-23,2021-11-10,4.74,4.79,4.81,4.77,4.65,4.94,4.72,2.66,Rome,0
29263,3535,6070499,2013-04-24,"Palermo, Sicily, Italy",within an hour,100%,100%,f,1.0,"['email', 'phone', 'facebook', 'jumio', 'government_id']",t,t,1,1,0,0,2,2.0,2.0,150.0,2.0,150,150.0,150.0,t,0,0,0,0,2,0,0,2019-08-05,2019-08-13,4.0,4.5,4.5,4.5,4.5,4.5,3.5,0.07,Sicily,0
20712,8752,225711105,2018-11-14,"Milan, Lombardy, Italy",within an hour,100%,100%,f,3.0,['phone'],t,f,3,2,1,0,1,1.0,1.0,1125.0,1.0,29,1125.0,1125.0,t,0,0,0,0,7,0,0,2019-01-06,2019-06-10,5.0,5.0,5.0,4.86,4.86,4.86,4.57,0.2,Milan,0
72308,15774,221730528,2018-10-20,"Bari, Apulia, Italy",within an hour,100%,100%,t,1.0,"['email', 'phone', 'jumio', 'offline_government_id', 'government_id']",t,t,1,1,0,0,2,2.0,2.0,1125.0,2.0,28,1125.0,1125.0,t,23,44,69,186,65,9,1,2018-10-29,2021-12-14,4.98,4.98,5.0,5.0,5.0,4.97,4.92,1.68,Puglia,0
6304,1558,29680504,2015-03-20,IT,within an hour,100%,100%,f,5.0,"['email', 'phone', 'reviews', 'jumio', 'government_id']",t,t,5,0,5,0,1,1.0,1.0,100.0,1.0,100,100.0,100.0,t,0,0,0,0,2,0,0,2015-04-14,2017-01-07,4.5,4.5,5.0,5.0,4.5,5.0,4.5,0.02,Toscana,0
18116,5652,21041708,2014-09-07,"Milan, Lombardy, Italy",within an hour,100%,100%,t,18.0,"['email', 'phone', 'facebook', 'reviews', 'jumio', 'government_id', 'work_email']",t,t,19,19,0,0,1,1.0,2.0,30.0,1.0,1125,1125.0,1120.0,t,30,60,90,365,4,1,0,2017-07-09,2021-04-29,5.0,5.0,5.0,5.0,4.75,5.0,5.0,0.07,Milan,0
91881,5255,73860334,2016-05-24,"Newark, New Jersey, United States",within an hour,100%,99%,f,16.0,"['email', 'phone', 'facebook', 'reviews', 'offline_government_id', 'kba', 'selfie', 'government_id', 'identity_manual']",t,t,4,1,3,0,1,1.0,2.0,99.0,1.0,1125,99.0,99.0,t,21,43,71,166,26,2,2,2019-09-01,2021-12-18,4.65,4.65,4.73,4.77,4.85,4.81,4.46,0.91,Venice,0
77471,23705,9632167,2013-10-25,"Casarano, Puglia, Italy",within a day,74%,100%,f,864.0,"['email', 'phone', 'reviews', 'jumio']",t,t,823,760,56,0,3,3.0,3.0,1125.0,3.0,30,1125.0,1125.0,t,0,0,0,199,3,2,0,2020-08-05,2021-08-14,4.67,5.0,4.67,5.0,4.67,4.0,4.67,0.18,Puglia,0
37679,13577,118505480,2017-02-28,"Cinisi, Sicilia, Italy",within a few hours,100%,100%,f,3.0,"['email', 'phone', 'reviews', 'jumio', 'offline_government_id', 'government_id']",t,t,3,3,0,0,5,5.0,5.0,1125.0,5.0,1125,1125.0,1125.0,t,0,0,0,272,4,0,0,2017-07-15,2018-08-26,4.5,5.0,5.0,5.0,5.0,5.0,4.25,0.07,Sicily,0
116962,4767,306505609,2019-11-03,"Potenza, Basilicata, Italy",within an hour,100%,100%,t,0.0,"['email', 'phone', 'jumio', 'offline_government_id', 'selfie', 'government_id', 'identity_manual']",t,t,1,1,0,0,2,2.0,2.0,1125.0,2.0,30,1125.0,1125.0,t,16,46,72,128,61,35,5,2019-12-30,2021-12-08,4.95,5.0,4.95,4.98,4.98,4.95,4.97,2.55,Naples,0
31037,5603,19946606,2014-08-13,"Florence, Tuscany, Italy",within a day,100%,75%,f,2.0,"['email', 'phone', 'reviews', 'jumio', 'government_id']",t,t,1,1,0,0,5,5.0,5.0,30.0,5.0,30,30.0,30.0,t,20,50,80,339,19,2,0,2016-07-20,2021-07-31,4.47,4.37,4.37,4.89,4.79,4.47,4.11,0.29,Sicily,0
56486,40877,395928815,2021-04-07,IT,within an hour,100%,100%,f,0.0,"['email', 'phone']",t,t,1,1,0,0,2,2.0,2.0,1125.0,2.0,20,1125.0,1125.0,t,30,35,62,153,4,4,0,2021-08-24,2021-09-16,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.94,Sicily,0
31359,5968,34044941,2015-05-23,"Catania, Sicilia, Italy",within an hour,100%,100%,f,3.0,"['email', 'phone', 'reviews', 'jumio', 'government_id']",t,t,3,3,0,0,3,3.0,3.0,28.0,3.0,26,1125.0,992.6,t,5,27,52,269,206,24,1,2015-07-21,2021-12-14,4.81,4.87,4.88,4.93,4.9,4.87,4.82,2.63,Sicily,0
2288,522,9696899,2013-10-29,"Bologna, Emilia-Romagna, Italy",within an hour,100%,100%,f,2.0,"['email', 'phone', 'reviews', 'jumio', 'government_id']",t,t,2,0,2,0,2,2.0,2.0,1125.0,2.0,1125,1125.0,1125.0,t,0,0,0,0,12,0,0,2016-09-20,2019-06-29,4.67,4.92,4.92,4.92,4.75,4.75,4.58,0.19,Bologna,0
103714,11676,1138475,2011-09-10,"Roma, Lazio, Italy",within an hour,100%,100%,f,10.0,"['email', 'phone', 'reviews', 'jumio', 'offline_government_id', 'government_id', 'work_email']",t,t,9,9,0,0,2,2.0,2.0,1125.0,2.0,60,1125.0,1125.0,t,10,40,70,222,146,16,3,2018-04-07,2021-11-23,4.75,4.8,4.79,4.97,4.93,4.8,4.72,3.26,Rome,0
1988,211,18985615,2014-07-27,"Bologna, Emilia-Romagna, Italy",within an hour,100%,75%,f,2.0,"['email', 'phone', 'reviews', 'jumio', 'offline_government_id', 'government_id']",t,t,1,0,1,0,1,1.0,1.0,8.0,1.0,8,8.0,8.0,t,30,60,90,365,16,2,1,2015-03-23,2021-12-05,4.8,4.67,4.33,4.87,4.8,4.67,4.47,0.19,Bologna,0
93515,197,1013633,2011-08-24,"Rome, Lazio, Italy",a few days or more,100%,100%,f,2.0,"['email', 'phone', 'facebook', 'reviews', 'jumio', 'government_id']",t,t,1,1,0,0,3,3.0,3.0,30.0,3.0,30,1125.0,1097.7,t,0,6,36,311,35,0,0,2011-11-11,2018-10-31,4.91,4.86,4.86,4.94,4.89,4.71,4.86,0.29,Rome,0
79166,26614,36198581,2015-06-19,"Milan, Lombardy, Italy",within an hour,100%,100%,f,9.0,"['email', 'phone', 'reviews', 'jumio', 'selfie', 'government_id', 'identity_manual']",t,t,8,8,0,0,3,3.0,3.0,1125.0,3.0,30,1125.0,1125.0,t,30,60,90,365,2,2,0,2021-08-06,2021-08-14,5.0,4.5,5.0,5.0,5.0,5.0,4.5,0.41,Puglia,0
77046,22910,225852873,2018-11-15,"Vieste, Apulia, Italy",within an hour,100%,69%,f,2.0,"['email', 'phone']",t,f,7,7,0,0,2,2.0,2.0,1125.0,2.0,1125,1125.0,1125.0,t,27,57,87,359,1,1,0,2021-08-29,2021-08-29,5.0,5.0,5.0,5.0,5.0,4.0,4.0,0.24,Puglia,0
20195,8141,30490008,2015-04-02,"Milan, Lombardy, Italy",within an hour,100%,33%,t,2.0,"['email', 'phone', 'reviews', 'jumio', 'government_id']",t,t,1,1,0,0,7,7.0,7.0,1125.0,7.0,1125,1125.0,1125.0,t,0,0,0,197,19,1,0,2018-10-10,2021-08-13,5.0,5.0,4.95,5.0,5.0,4.84,4.95,0.49,Milan,0
79733,27834,398600332,2021-04-25,IT,within an hour,100%,100%,f,0.0,"['email', 'phone']",t,f,2,2,0,0,2,2.0,2.0,1125.0,2.0,365,1125.0,1125.0,t,28,58,88,363,4,4,0,2021-08-15,2021-09-19,4.75,5.0,5.0,5.0,5.0,4.75,5.0,0.87,Puglia,0
68396,10734,145504440,2017-08-11,IT,within a day,100%,92%,t,1.0,"['email', 'phone', 'reviews']",t,t,1,1,0,0,2,2.0,2.0,7.0,2.0,7,7.0,7.0,t,29,59,89,364,35,8,0,2017-08-22,2021-09-11,4.88,4.88,4.97,4.91,4.85,4.82,4.82,0.66,Puglia,0
92243,5709,337913772,2020-02-21,"Venice, Veneto, Italy",within an hour,92%,96%,f,1.0,"['email', 'phone']",t,t,1,1,0,0,2,2.0,3.0,5.0,2.0,5,1125.0,1109.6,t,28,52,75,328,26,25,3,2020-08-28,2022-01-05,4.69,4.81,4.77,4.73,4.73,4.96,4.69,1.57,Venice,0
24933,14694,364327725,2020-08-25,"Kasavanahalli, Karnataka, India",within an hour,100%,93%,f,6.0,"['email', 'phone']",t,t,6,6,0,0,1,1.0,1.0,1125.0,1.0,1125,1125.0,1125.0,t,15,41,71,343,35,35,0,2021-05-03,2021-09-15,4.8,4.74,4.83,4.74,4.97,4.86,4.71,4.63,Milan,0
57278,42335,127356760,2017-04-24,"Barcellona Pozzo di Gotto, Sicily, Italy",within a few hours,100%,100%,t,0.0,"['email', 'phone', 'facebook']",t,t,1,0,1,0,2,2.0,2.0,1125.0,2.0,28,1125.0,1125.0,t,22,22,22,87,7,7,0,2021-07-28,2021-09-19,4.86,4.86,5.0,5.0,5.0,4.86,4.86,1.35,Sicily,0
75786,20723,283465852,2019-08-06,"Troia, Apulia, Apulia, Italy",within an hour,100%,100%,f,1.0,"['phone', 'offline_government_id', 'selfie', 'government_id', 'identity_manual']",t,t,1,1,0,0,2,2.0,2.0,1125.0,2.0,30,1125.0,1125.0,t,0,29,59,334,2,0,0,2019-08-21,2019-09-10,3.5,5.0,3.5,5.0,5.0,5.0,5.0,0.07,Puglia,0
1840,61,1882258,2012-03-08,"Solarolo, Emilia-Romagna, Italy",within an hour,100%,98%,t,3.0,"['email', 'phone', 'facebook', 'reviews', 'jumio', 'offline_government_id', 'government_id']",t,t,2,2,0,0,3,3.0,3.0,15.0,3.0,15,15.0,15.0,t,27,57,81,349,122,14,2,2013-05-27,2021-12-06,4.75,4.72,4.83,4.93,4.94,4.69,4.65,1.17,Bologna,0
19409,7164,110861522,2017-01-10,"Milan, Lombardy, Italy",within an hour,100%,75%,f,2.0,"['email', 'phone', 'reviews', 'jumio', 'offline_government_id', 'selfie', 'government_id', 'identity_manual']",t,t,1,1,0,0,1,1.0,1.0,1125.0,1.0,1125,1125.0,1125.0,t,0,0,0,0,7,1,0,2018-05-30,2021-05-16,4.29,4.71,4.43,4.43,4.57,4.57,4.0,0.16,Milan,0
34938,10250,11058225,2014-01-06,"Nicolosi, Sicilia, Italy",within a few hours,100%,100%,f,1.0,"['email', 'phone', 'reviews', 'jumio', 'government_id']",t,t,1,1,0,0,3,3.0,3.0,1125.0,3.0,1125,1125.0,1125.0,t,26,56,86,361,73,1,0,2016-08-02,2021-09-14,4.68,4.75,4.75,4.85,4.92,4.64,4.8,1.11,Sicily,0
25485,15487,230140176,2018-12-11,"Milan, Lombardy, Italy",within an hour,97%,100%,f,83.0,"['email', 'phone', 'offline_government_id', 'government_id', 'work_email']",t,t,71,71,0,0,2,2.0,2.0,1125.0,2.0,1125,1125.0,1125.0,t,9,39,69,344,1,1,0,2021-08-26,2021-08-26,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.27,Milan,0
815,912,188756408,2018-05-09,IT,within an hour,100%,92%,f,3.0,"['email', 'phone']",t,f,7,7,0,0,3,3.0,3.0,1125.0,3.0,30,1125.0,1125.0,t,0,0,0,205,1,0,0,2018-06-03,2018-06-03,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.02,Bergamo,0
52281,33127,301283788,2019-10-09,IT,within an hour,90%,81%,f,10.0,"['email', 'phone']",t,t,11,6,5,0,2,2.0,2.0,29.0,2.0,29,29.0,29.0,t,23,53,83,358,13,8,0,2019-10-20,2021-11-14,4.0,4.08,4.31,4.38,4.54,4.62,4.0,0.49,Sicily,0
79993,28388,401287723,2021-05-12,GB,within an hour,100%,100%,f,0.0,['phone'],t,t,1,1,0,0,3,3.0,3.0,1125.0,3.0,1125,1125.0,1125.0,t,30,60,90,365,25,25,1,2021-06-03,2021-12-02,4.64,4.68,4.52,4.76,4.84,5.0,4.44,3.55,Puglia,0
15834,2954,38648504,2015-07-16,"Milan, Lombardy, Italy",within an hour,100%,100%,t,1.0,"['email', 'phone', 'jumio', 'government_id']",t,f,1,1,0,0,2,2.0,2.0,8.0,2.0,8,8.0,8.0,t,0,0,0,0,8,0,0,2019-04-11,2020-01-02,4.88,4.88,4.88,5.0,5.0,4.88,4.38,0.24,Milan,0
37898,13839,121669717,2017-03-20,"Favignana, Sicilia, Italy",within an hour,100%,94%,t,1.0,"['email', 'phone', 'google', 'reviews', 'jumio', 'offline_government_id', 'government_id']",t,t,1,1,0,0,3,3.0,3.0,1125.0,3.0,30,1125.0,1125.0,t,0,0,0,0,29,11,0,2017-07-17,2021-09-25,4.9,4.83,4.93,4.9,4.9,4.93,4.72,0.54,Sicily,0
85011,3175,58849680,2016-02-15,"Riva del Garda, Trentino-South Tyrol, Italy",within an hour,100%,100%,f,1.0,"['email', 'phone', 'google', 'jumio', 'government_id', 'work_email']",t,t,1,1,0,0,4,3.0,6.0,28.0,4.2,28,1125.0,839.5,t,27,52,82,211,32,4,0,2019-02-03,2021-10-24,4.6,4.6,4.77,4.73,4.87,4.6,4.67,0.9,Trentino,0
26375,210,1291720,2011-10-14,"Giarre, Sicily, Italy",a few days or more,43%,77%,f,3.0,"['email', 'phone', 'reviews', 'jumio', 'offline_government_id', 'selfie', 'government_id', 'identity_manual']",t,t,3,3,0,0,2,2.0,2.0,30.0,2.0,30,30.0,30.0,t,25,55,85,358,21,1,0,2014-01-26,2021-07-11,4.76,4.81,4.86,4.95,5.0,4.71,4.67,0.22,Sicily,0
95740,2609,15138120,2014-05-05,"Basel, Basel-Stadt, Switzerland",within a few hours,100%,100%,f,2.0,"['email', 'phone', 'reviews', 'jumio', 'offline_government_id', 'government_id', 'work_email']",t,t,1,1,0,0,1,1.0,1.0,1125.0,1.0,1125,1125.0,1125.0,t,0,0,0,39,1,0,0,2014-08-18,2014-08-18,0.0,4.88,4.89,4.96,4.96,4.729120851843094,4.6466308292816985,0.01,Rome,0
101279,8875,115148883,2017-02-06,IT,within a few hours,100%,40%,f,1.0,"['email', 'phone', 'reviews']",t,f,1,1,0,0,2,2.0,2.0,30.0,2.0,30,30.0,30.0,t,0,28,58,58,13,2,0,2017-05-04,2021-08-30,4.85,4.77,4.77,4.83,4.92,4.5,4.67,0.23,Rome,0
53525,35376,339170011,2020-02-27,IT,within an hour,100%,100%,f,0.0,"['email', 'phone', 'jumio', 'offline_government_id', 'government_id']",t,t,1,1,0,0,3,3.0,3.0,15.0,3.0,15,15.0,15.0,t,0,0,0,0,8,6,0,2020-08-28,2021-09-23,5.0,4.88,5.0,5.0,5.0,5.0,4.88,0.49,Sicily,0
58686,44859,223977030,2018-11-03,"Palermo, Sicily, Italy",within a few hours,100%,100%,f,2.0,"['email', 'phone']",t,t,2,2,0,0,4,4.0,4.0,1125.0,4.0,21,1125.0,1125.0,t,30,60,90,180,5,5,0,2021-08-15,2021-10-21,5.0,4.8,4.4,4.6,5.0,5.0,4.8,1.09,Sicily,0
25557,15590,11990717,2014-02-06,"Milan, Lombardy, Italy",within an hour,100%,98%,t,1.0,"['email', 'phone', 'facebook', 'reviews', 'offline_government_id', 'government_id', 'work_email']",t,t,3,3,0,0,1,1.0,5.0,365.0,1.1,365,365.0,365.0,t,18,48,71,330,22,22,4,2021-08-28,2021-12-03,4.95,4.95,4.95,4.95,5.0,5.0,4.91,6.0,Milan,0
8160,3571,114510703,2017-02-02,"Florence, Tuscany, Italy",within a few hours,80%,100%,f,1.0,"['email', 'phone', 'reviews', 'jumio', 'offline_government_id', 'government_id', 'work_email']",t,t,1,1,0,0,2,2.0,2.0,1125.0,2.0,1125,1125.0,1125.0,t,0,10,10,225,39,2,0,2017-04-20,2021-11-11,4.62,4.9,4.64,4.92,4.9,4.9,4.56,0.69,Toscana,0
78915,26060,367078194,2020-09-11,"Ostuni, Apulia, Italy",within an hour,100%,100%,f,9.0,"['email', 'phone', 'jumio', 'offline_government_id', 'selfie', 'government_id', 'identity_manual']",t,t,3,3,0,0,2,2.0,2.0,1125.0,2.0,365,1125.0,1125.0,t,26,56,86,196,1,1,0,2021-10-04,2021-10-04,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.34,Puglia,0
27601,1606,8566156,2013-09-01,IT,within an hour,100%,56%,f,2.0,"['email', 'phone', 'reviews']",t,f,2,1,1,0,1,1.0,1.0,1125.0,1.0,1125,1125.0,1125.0,t,26,56,86,361,1,0,0,2016-08-31,2016-08-31,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.02,Sicily,0
52272,33109,48881622,2015-11-12,"Bagheria, Sicily, Italy",within an hour,100%,100%,f,3.0,"['email', 'phone', 'facebook', 'jumio', 'offline_government_id', 'government_id']",t,t,3,3,0,0,1,1.0,1.0,31.0,1.0,31,31.0,31.0,t,5,20,49,135,20,2,0,2019-11-04,2021-07-16,4.8,4.95,4.8,4.8,4.75,4.8,4.85,0.76,Sicily,0
66933,8955,119621237,2017-03-07,"Naples, Campania, Italy",within an hour,86%,92%,f,5.0,"['email', 'phone', 'facebook', 'reviews', 'jumio', 'offline_government_id', 'selfie', 'government_id', 'identity_manual']",t,t,3,2,1,0,7,7.0,7.0,1125.0,7.0,1125,1125.0,1125.0,t,30,60,90,275,15,1,0,2017-06-08,2021-08-01,4.31,3.85,4.69,4.15,4.15,4.08,4.38,0.27,Puglia,0
81143,30535,410018782,2021-06-30,IT,a few days or more,33%,83%,f,1.0,['phone'],t,t,1,1,0,0,1,1.0,1.0,365.0,1.0,365,365.0,365.0,t,30,60,90,365,1,1,0,2021-08-22,2021-08-22,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.23,Puglia,0
95629,2481,16130014,2014-05-29,"Rome, Lazio, Italy",within an hour,100%,100%,t,4.0,"['email', 'phone', 'reviews', 'jumio', 'offline_government_id', 'selfie', 'government_id', 'identity_manual']",t,t,4,4,0,0,2,2.0,2.0,180.0,2.0,180,180.0,180.0,t,17,47,77,352,2,0,0,2014-11-09,2019-06-08,5.0,5.0,4.5,5.0,5.0,5.0,4.5,0.02,Rome,0
104197,12205,185806158,2018-04-23,"Rome, Lazio, Italy",within a day,75%,100%,f,1.0,"['email', 'phone', 'jumio', 'offline_government_id', 'government_id']",t,t,1,1,0,0,2,2.0,2.0,1125.0,2.0,30,1125.0,1125.0,t,15,45,75,165,4,0,0,2018-08-14,2020-08-18,5.0,5.0,4.5,5.0,5.0,5.0,5.0,0.1,Rome,0
85888,4258,167185199,2018-01-11,Italy,within an hour,100%,100%,f,68.0,"['email', 'phone', 'jumio', 'offline_government_id', 'selfie', 'government_id', 'identity_manual']",t,t,55,55,0,0,3,3.0,7.0,1125.0,4.3,1000,1125.0,1125.0,t,0,0,0,50,6,4,0,2020-08-29,2021-08-21,4.17,4.5,4.17,5.0,5.0,4.33,4.5,0.37,Trentino,0
36904,12634,67885276,2016-04-19,"Palermo, Sicily, Italy",within a day,100%,70%,f,13.0,"['email', 'phone', 'reviews']",t,t,13,5,8,0,2,1.0,2.0,90.0,2.0,90,90.0,90.0,t,0,0,0,263,14,3,0,2017-06-27,2021-10-20,4.64,4.79,4.79,4.86,4.93,4.93,4.57,0.26,Sicily,0
103113,10983,41307268,2015-08-12,"Gallicano Nel Lazio, Lazio, Italy",within an hour,100%,100%,t,2.0,"['email', 'phone', 'facebook', 'reviews', 'jumio', 'offline_government_id', 'selfie', 'government_id', 'identity_manual']",t,t,2,2,0,0,30,30.0,30.0,30.0,30.0,30,30.0,30.0,t,0,0,0,0,77,0,0,2017-12-10,2020-03-07,4.93,4.92,4.88,4.79,4.82,5.0,4.89,1.58,Rome,0
76332,21600,34943535,2015-06-03,"Ostuni, Apulia, Italy",within an hour,89%,96%,t,2.0,"['email', 'phone', 'offline_government_id', 'selfie', 'government_id', 'identity_manual']",t,t,2,2,0,0,1,1.0,1.0,1125.0,1.0,1125,1125.0,1125.0,t,30,60,90,365,1,0,0,2019-12-29,2019-12-29,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.04,Puglia,0
9259,4822,167201009,2018-01-11,"Florence, Tuscany, Italy",within an hour,100%,100%,t,2.0,"['email', 'phone', 'jumio', 'offline_government_id', 'selfie', 'government_id', 'identity_manual']",t,t,2,2,0,0,1,1.0,1.0,1125.0,1.0,1125,1125.0,1125.0,t,0,0,0,0,88,10,0,2018-04-14,2021-08-23,4.85,4.91,4.94,4.78,4.89,4.99,4.75,1.96,Toscana,0
28319,2438,10243981,2013-11-25,"Palermo, Sicily, Italy",within a few hours,100%,54%,f,4.0,"['email', 'phone', 'reviews']",t,f,3,1,2,0,1,1.0,1.0,1125.0,1.0,30,1125.0,1125.0,t,21,51,81,356,14,0,0,2014-06-19,2015-08-25,4.64,4.79,4.79,4.79,4.93,4.57,4.5,0.15,Sicily,0
79849,28113,399159425,2021-04-29,IT,within a day,100%,65%,f,0.0,"['email', 'phone']",t,t,11,6,5,0,1,1.0,1.0,1125.0,1.0,1125,1125.0,1125.0,t,0,0,0,0,2,2,0,2021-07-11,2021-08-02,5.0,5.0,5.0,4.5,5.0,4.5,5.0,0.35,Puglia,0
86313,4859,110757716,2017-01-10,IT,within an hour,100%,100%,f,8.0,"['email', 'phone', 'reviews', 'jumio', 'offline_government_id', 'government_id']",t,t,2,2,0,0,1,1.0,7.0,99.0,6.2,1125,99.0,99.0,t,24,38,68,311,1,1,0,2021-07-03,2021-07-03,5.0,5.0,5.0,5.0,4.0,5.0,5.0,0.16,Trentino,0
110830,20950,4453257,2012-12-20,"Rome, Lazio, Italy",within an hour,100%,100%,f,31.0,"['email', 'phone', 'reviews', 'jumio', 'offline_government_id', 'selfie', 'government_id', 'identity_manual']",t,t,31,22,9,0,2,2.0,3.0,1125.0,2.0,1125,1125.0,1125.0,t,27,55,85,326,35,32,1,2020-10-25,2021-11-19,3.89,3.71,3.97,4.03,3.83,4.8,4.0,2.55,Rome,0
57498,42699,142689918,2017-07-26,"Lipari, Sicily, Italy",within an hour,100%,64%,f,1.0,"['email', 'phone', 'facebook']",t,t,1,1,0,0,3,3.0,3.0,120.0,3.0,120,120.0,120.0,t,0,0,0,236,5,5,0,2021-06-24,2021-09-26,4.8,4.6,4.8,5.0,5.0,5.0,4.6,0.79,Sicily,0
12163,8417,352715368,2020-06-30,IT,within an hour,100%,92%,f,1.0,"['email', 'phone']",t,f,1,1,0,0,1,1.0,1.0,365.0,1.0,365,365.0,365.0,t,10,35,65,340,4,4,4,2021-11-21,2021-12-08,4.5,4.75,4.25,5.0,5.0,5.0,4.5,4.0,Toscana,0
108452,17268,30634942,2015-04-05,"Rome, Lazio, Italy",within a few hours,100%,87%,t,1.0,"['email', 'phone', 'reviews', 'jumio', 'government_id']",t,t,1,0,1,0,1,1.0,1.0,30.0,1.0,30,30.0,30.0,t,13,32,62,62,58,38,4,2019-08-21,2021-11-25,4.91,4.93,4.86,4.98,4.98,4.78,4.88,2.07,Rome,0
20795,8845,21491179,2014-09-18,"Milan, Lombardy, Italy",within an hour,100%,100%,f,2.0,"['email', 'phone', 'reviews', 'jumio', 'government_id']",t,t,2,2,0,0,3,3.0,3.0,1125.0,3.0,180,1125.0,1125.0,t,11,41,71,346,129,21,4,2018-12-29,2021-11-30,4.84,4.86,4.88,4.91,4.95,4.8,4.84,3.57,Milan,0
28930,3142,12869337,2014-03-06,"Augusta, Sicily, Italy",within an hour,100%,0%,f,4.0,"['email', 'phone', 'reviews', 'jumio', 'offline_government_id', 'selfie', 'government_id', 'identity_manual']",t,t,1,1,0,0,3,3.0,3.0,1125.0,3.0,1125,1125.0,1125.0,t,29,59,89,364,1,0,0,2015-08-12,2015-08-12,5.0,5.0,4.0,5.0,5.0,5.0,0.0,0.01,Sicily,0
64375,5800,2901205,2012-07-11,"Ostuni, Apulia, Italy",within an hour,100%,0%,f,6.0,"['email', 'phone']",t,f,6,6,0,0,3,3.0,3.0,1125.0,3.0,1125,1125.0,1125.0,t,29,59,89,356,1,0,0,2018-04-10,2018-04-10,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.02,Puglia,0
41220,17889,76576923,2016-06-08,"Mascalucia, Sicilia, Italy",within an hour,100%,100%,f,2.0,"['email', 'phone', 'facebook', 'google', 'reviews', 'jumio', 'government_id']",t,t,1,1,0,0,2,2.0,2.0,15.0,2.0,15,15.0,15.0,t,30,60,90,93,1,0,0,2018-02-04,2018-02-04,4.0,5.0,5.0,5.0,5.0,5.0,4.0,0.02,Sicily,0
74996,19664,186312696,2018-04-25,"Penzberg, Bavaria, Germany",within an hour,100%,33%,f,0.0,"['email', 'phone', 'jumio', 'offline_government_id', 'selfie', 'government_id', 'identity_manual']",t,t,1,1,0,0,4,4.0,4.0,60.0,4.0,60,60.0,60.0,t,28,58,88,257,1,0,0,2020-08-01,2020-08-01,5.0,4.0,4.0,5.0,5.0,5.0,4.0,0.06,Puglia,0
