,Unnamed: 0,host_id,host_since,host_location,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_verifications,host_has_profile_pic,host_identity_verified,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,minimum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,minimum_nights_avg_ntm,maximum_nights,maximum_maximum_nights,maximum_nights_avg_ntm,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,reviews_per_month,place,south
76202,21380,298024104,2019-09-26,IT,within an hour,100%,100%,t,3.0,"['email', 'phone']",t,t,5,0,4,0,1,1.0,4.0,999.0,1.5,1125,999.0,999.0,t,0,0,0,96,9,5,0,2020-07-21,2021-10-02,5.0,5.0,5.0,5.0,5.0,4.89,5.0,0.51,Puglia,0
43576,20927,186736753,2018-04-28,"Palermo, Sicily, Italy",within a day,100%,0%,f,3.0,"['email', 'phone']",t,f,3,3,0,0,4,4.0,4.0,1125.0,4.0,1125,1125.0,1125.0,t,0,0,0,193,2,0,0,2018-08-05,2019-08-16,4.5,4.5,4.5,4.5,4.0,4.0,4.5,0.05,Sicily,0
71953,15274,154232922,2017-10-11,"Corato, Apulia, Italy",within an hour,100%,100%,f,1.0,"['email', 'phone', 'jumio', 'offline_government_id', 'government_id']",t,t,1,1,0,0,5,5.0,5.0,1125.0,5.0,1125,1125.0,1125.0,t,28,58,88,363,9,4,0,2019-08-13,2021-09-10,4.89,5.0,5.0,5.0,5.0,5.0,4.89,0.31,Puglia,0
93567,250,1308066,2011-10-18,"Rome, Lazio, Italy",within an hour,100%,100%,t,1.0,"['email', 'phone', 'facebook', 'reviews', 'jumio', 'government_id']",t,t,2,2,0,0,2,2.0,3.0,1125.0,2.0,1125,1125.0,1125.0,t,15,19,39,314,110,13,3,2012-05-18,2021-12-05,4.74,4.85,4.79,4.89,4.89,4.56,4.73,0.94,Rome,0
112580,23615,48340897,2015-11-06,"Rome, Lazio, Italy",within an hour,100%,100%,f,1.0,"['email', 'phone', 'reviews', 'jumio', 'government_id']",t,t,1,1,0,0,2,2.0,2.0,1125.0,2.0,28,1125.0,1125.0,t,1,1,1,1,6,6,0,2021-10-08,2021-11-03,4.83,4.83,4.83,4.67,4.5,4.67,4.5,2.9,Rome,0
21180,9314,21030267,2014-09-07,"Milan, Lombardy, Italy",within a few hours,100%,44%,f,2.0,"['email', 'phone', 'reviews', 'jumio', 'offline_government_id', 'selfie', 'government_id', 'identity_manual']",t,t,1,0,1,0,1,1.0,1.0,5.0,1.0,5,5.0,5.0,t,6,36,66,156,31,8,0,2019-02-22,2021-10-25,4.94,5.0,5.0,4.97,5.0,5.0,4.9,0.9,Milan,0
97663,4801,33662584,2015-05-18,"Rome, Lazio, Italy",within an hour,100%,100%,f,5.0,"['email', 'phone', 'facebook', 'reviews', 'jumio', 'government_id']",t,t,5,0,5,0,3,3.0,3.0,31.0,3.0,31,31.0,31.0,t,0,6,36,311,2,0,0,2017-05-20,2018-05-11,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.04,Rome,0
18377,5959,41855410,2015-08-18,"Milan, Lombardy, Italy",a few days or more,20%,37%,f,1.0,"['email', 'phone', 'facebook', 'jumio', 'offline_government_id', 'selfie', 'government_id', 'identity_manual', 'work_email']",t,t,1,0,1,0,1,1.0,2.0,1125.0,1.3,1125,1125.0,1125.0,t,8,16,46,46,14,10,0,2017-08-26,2021-10-06,4.92,5.0,4.92,4.75,4.92,4.75,4.75,0.27,Milan,0
73695,17878,255748856,2019-04-14,"Noci, Apulia, Italy",within an hour,100%,83%,f,1.0,"['email', 'phone']",t,f,1,1,0,0,1,1.0,1.0,1125.0,1.0,1125,1125.0,1125.0,t,25,55,85,360,9,3,0,2019-04-29,2021-09-05,5.0,5.0,5.0,5.0,5.0,5.0,4.89,0.28,Puglia,0
72033,15389,212201907,2018-08-28,"Gioia del Colle, Apulia, Italy",within an hour,100%,92%,t,1.0,"['email', 'phone', 'google', 'jumio', 'offline_government_id', 'selfie', 'government_id', 'identity_manual']",t,t,1,1,0,0,1,1.0,1.0,1125.0,1.0,1125,1125.0,1125.0,t,23,48,78,78,141,17,2,2018-09-07,2021-12-16,4.93,4.94,4.89,4.96,4.97,4.96,4.91,3.49,Puglia,0
54151,36473,302837165,2019-10-17,"Sicily, Italy",within an hour,100%,100%,f,1.0,"['email', 'phone']",t,f,1,1,0,0,3,3.0,3.0,1125.0,3.0,1125,1125.0,1125.0,t,14,14,14,14,8,8,0,2021-07-08,2021-11-27,5.0,4.88,4.88,5.0,5.0,5.0,4.63,1.36,Sicily,0
